====================
Attribute Shard
====================
item_name: Attribute Shard                    |price: 650000.0                           |uuid: 7632d98432c34660b7021f2f27d05137   |attributes_found: [('Lifeline', 'I', 1)]             |
item_name: Attribute Shard                    |price: 700000.0                           |uuid: 43418a588c9343b0887d7edd2283a96c   |attributes_found: [('Lifeline', 'I', 1)]             |
item_name: Attribute Shard                    |price: 700000.0                           |uuid: 5f3978700e5242dfbb183713d82b0262   |attributes_found: [('Lifeline', 'I', 1)]             |
item_name: Attribute Shard                    |price: 875000.0                           |uuid: a18408d256d446b6ab4af6445435db61   |attributes_found: [('Lifeline', 'III', 3)]           |
item_name: Attribute Shard                    |price: 900000.0                           |uuid: 333d1a883cae4802ae0a1c097f31ac8f   |attributes_found: [('Lifeline', 'I', 1)]             |
item_name: Attribute Shard                    |price: 947500.0                           |uuid: a1e8ac870b724118a7ff504567180562   |attributes_found: [('Lifeline', 'III', 3)]           |
item_name: Attribute Shard                    |price: 950000.0                           |uuid: 71afb49554d149cbb2636355e57552b9   |attributes_found: [('Lifeline', 'II', 2)]            |
item_name: Attribute Shard                    |price: 950000.0                           |uuid: 0697b16a030041a2af36889a9ca9fdd4   |attributes_found: [('Lifeline', 'II', 2)]            |
item_name: Attribute Shard                    |price: 950000.0                           |uuid: e553740db5f14cfd8ee0d933348da5e1   |attributes_found: [('Lifeline', 'III', 3)]           |
item_name: Attribute Shard                    |price: 975000.0                           |uuid: 5215e79bda0c412c97f269b09859b1e1   |attributes_found: [('Lifeline', 'III', 3)]           |
item_name: Attribute Shard                    |price: 1000000.0                          |uuid: ff495fc2a36a482298ff4f678ec694f0   |attributes_found: [('Lifeline', 'II', 2)]            |
item_name: Attribute Shard                    |price: 1000000.0                          |uuid: d0b2806861114d969c9b3b0e9f856b35   |attributes_found: [('Lifeline', 'II', 2)]            |
item_name: Attribute Shard                    |price: 1037500.0                          |uuid: fb8d3cbc6a3b4d4fbe49f4162ab03a8b   |attributes_found: [('Lifeline', 'III', 3)]           |
item_name: Attribute Shard                    |price: 1063875.0                          |uuid: 1d2e01a67b6c48bba1bc6123d29057dc   |attributes_found: [('Lifeline', 'III', 3)]           |
item_name: Attribute Shard                    |price: 1125000.0                          |uuid: 1a16948ae3de451cb5058b47c6557653   |attributes_found: [('Lifeline', 'III', 3)]           |
item_name: Attribute Shard                    |price: 1125000.0                          |uuid: b3fef97135514ac6b1d996c70db0d15d   |attributes_found: [('Lifeline', 'III', 3)]           |
item_name: Attribute Shard                    |price: 1150000.0                          |uuid: bdd6862840d74dd8bf0995256eac6b17   |attributes_found: [('Lifeline', 'II', 2)]            |
item_name: Attribute Shard                    |price: 1250000.0                          |uuid: 84e766b234a34057adb6a9e6a4096f91   |attributes_found: [('Lifeline', 'III', 3)]           |
item_name: Attribute Shard                    |price: 1250000.0                          |uuid: 23f36effb07a42b28d4bc670aa5a942e   |attributes_found: [('Lifeline', 'III', 3)]           |
item_name: Attribute Shard                    |price: 1350000.0                          |uuid: af19f40c68454fcab319cde8d26e545e   |attributes_found: [('Lifeline', 'III', 3)]           |
item_name: Attribute Shard                    |price: 1350000.0                          |uuid: 803bd968085d48be97fa64d989fd2887   |attributes_found: [('Lifeline', 'II', 2)]            |
item_name: Attribute Shard                    |price: 1400000.0                          |uuid: 87686e17cfef42349698b99760ad7cb1   |attributes_found: [('Lifeline', 'III', 3)]           |
item_name: Attribute Shard                    |price: 1450000.0                          |uuid: 7f229ea16c0c45c7b5c098bb8dba40e4   |attributes_found: [('Lifeline', 'III', 3)]           |
item_name: Attribute Shard                    |price: 1500000.0                          |uuid: d56a77b1fc2044c2b3d7fde35ba18b86   |attributes_found: [('Lifeline', 'III', 3)]           |
item_name: Attribute Shard                    |price: 1500000.0                          |uuid: 04c0e92cac4645d596afa5101ecb09d9   |attributes_found: [('Lifeline', 'III', 3)]           |
item_name: Attribute Shard                    |price: 1624999.75                         |uuid: 67cea0794ce745dc893ecdda52215df5   |attributes_found: [('Lifeline', 'III', 3)]           |
item_name: Attribute Shard                    |price: 1800000.0                          |uuid: 7d5cffd2bddc42418efceacfe2343319   |attributes_found: [('Lifeline', 'I', 1)]             |
item_name: Attribute Shard                    |price: 1970000.0                          |uuid: 3df85fd597b840ed9d0dcc1d983faf7d   |attributes_found: [('Lifeline', 'II', 2)]            |
item_name: Attribute Shard                    |price: 1974950.0                          |uuid: 78a5d2993ce840b1b3c7d561ad255152   |attributes_found: [('Lifeline', 'II', 2)]            |
item_name: Attribute Shard                    |price: 2000000.0                          |uuid: 9076eace37d841f297d4474742b6541e   |attributes_found: [('Lifeline', 'II', 2)]            |
====================
Attribute Shard
====================
item_name: Attribute Shard                    |price: 670000.0                           |uuid: 1ffe26f5c88f41ffb60aee37d378baf4   |attributes_found: [('Veteran', 'II', 2)]             |
item_name: Attribute Shard                    |price: 875000.0                           |uuid: 6cb8d422a3864c029d7d22300d238e50   |attributes_found: [('Veteran', 'III', 3)]            |
item_name: Attribute Shard                    |price: 900000.0                           |uuid: 715ba469e2b644b9b78e9b92e7cbcc84   |attributes_found: [('Veteran', 'III', 3)]            |
item_name: Attribute Shard                    |price: 925000.0                           |uuid: 6b25d888acec4506a558e739c0e2fe01   |attributes_found: [('Veteran', 'III', 3)]            |
item_name: Attribute Shard                    |price: 950000.0                           |uuid: fcb992f724774a9e97eb45da2a2b5d43   |attributes_found: [('Veteran', 'II', 2)]             |
item_name: Attribute Shard                    |price: 950000.0                           |uuid: 292cbf17300248f7ac44e859a7c5433d   |attributes_found: [('Veteran', 'III', 3)]            |
item_name: Attribute Shard                    |price: 975000.0                           |uuid: ff074d62be0b4973ab5ef95bb064c43f   |attributes_found: [('Veteran', 'III', 3)]            |
item_name: Attribute Shard                    |price: 999999.75                          |uuid: bd63b966445e4a4c85cd839b93c786ed   |attributes_found: [('Veteran', 'III', 3)]            |
item_name: Attribute Shard                    |price: 1000000.0                          |uuid: 8bcf8f0aa0aa485abc939c1e8ed04b61   |attributes_found: [('Veteran', 'III', 3)]            |
item_name: Attribute Shard                    |price: 1000000.0                          |uuid: 7663d662e03c4789a8fede97ceb97665   |attributes_found: [('Veteran', 'II', 2)]             |
item_name: Attribute Shard                    |price: 1000000.0                          |uuid: 50d300b104834f35b0d8580541f5caec   |attributes_found: [('Veteran', 'II', 2)]             |
item_name: Attribute Shard                    |price: 1000000.0                          |uuid: 1222a36554dc4eb28e9f7709ea28116b   |attributes_found: [('Veteran', 'III', 3)]            |
item_name: Attribute Shard                    |price: 1050000.0                          |uuid: e8c249930eeb47d7aecf7f7fff7796d2   |attributes_found: [('Veteran', 'III', 3)]            |
item_name: Attribute Shard                    |price: 1125000.0                          |uuid: 0b3965c1926d4f52ba074e6f92e8a0bc   |attributes_found: [('Veteran', 'III', 3)]            |
item_name: Attribute Shard                    |price: 1125000.0                          |uuid: f0e4a6297bc941ab88e40882002d988e   |attributes_found: [('Veteran', 'III', 3)]            |
item_name: Attribute Shard                    |price: 1150000.0                          |uuid: 46176bfe1f29431c9d59cf4a0779a877   |attributes_found: [('Veteran', 'III', 3)]            |
item_name: Attribute Shard                    |price: 1175000.0                          |uuid: 6bc6cee7e2c1442fb574c73cb2a47ab5   |attributes_found: [('Veteran', 'III', 3)]            |
item_name: Attribute Shard                    |price: 1200000.0                          |uuid: 8f0f792de77240fa8af9d647f6b4ed37   |attributes_found: [('Veteran', 'II', 2)]             |
item_name: Attribute Shard                    |price: 1200000.0                          |uuid: 01ecaa6bc93e460699904118fa09523e   |attributes_found: [('Veteran', 'III', 3)]            |
